id,text,label
1,Hello world,1
2,HuggingFace is amazing,0
3,Machine learning is fun,1
4,Machine learning is the last invention that humanity will ever need to make,1
5,The goal of machine learning is to turn data into information and information into insight.,1
6,Machine learning will automate jobs that most people thought could only be done by people.,1
7,Machine learning is the science of getting computers to act without being explicitly programmed.,1
8,A breakthrough in machine learning would be worth ten Microsofts.,1
9,Machine learning isn't just a simple technology evolution; it's a paradigm shift that touches every part of the business,1
10,The power of machine learning and artificial intelligence is in the hands of those who know how to harness it.,1
11,Machine learning algorithms can figure out how to perform important tasks by generalizing from examples.,1
12,Machine learning is the most challenging and also the most rewarding job.,1
13,Understanding machine learning and data science is becoming mandatory for decision makers in business and technology.,1
14,The next big wave in advertising is machine learning.,1
15,Artificial intelligence will reach human levels by around 2029.,1
